"","word","Count"
"1","wine",80156
"2","flavors",62701
"3","fruit",49806
"4","aromas",39618
"5","palate",38503
"6","acidity",34975
"7","finish",34949
"8","tannins",30858
"9","drink",30305
"10","cherry",29307
"11","black",29013
"12","ripe",27344
"13","red",21773
"14","spice",19209
"15","notes",19028
"16","oak",17715
"17","fresh",17508
"18","rich",17447
"19","dry",17198
"20","berry",16971
"21","nose",16944
"22","plum",14977
"23","soft",13660
"24","apple",13579
"25","fruits",13505
"26","sweet",13421
"27","blend",13087
"28","white",12899
"29","crisp",12853
"30","blackberry",12835
"31","offers",12675
"32","light",12669
"33","dark",12399
"34","texture",12389
"35","citrus",11733
"36","bodied",11551
"37","vanilla",11057
"38","bright",10997
"39","cabernet",10782
"40","pepper",10177
"41","juicy",9767
"42","green",9705
"43","lemon",9587
"44","fruity",9561
"45","raspberry",9501
"46","firm",9222
"47","peach",8725
"48","chocolate",8633
"49","touch",8519
"50","balanced",8496
"51","character",8328
"52","dried",8091
"53","pear",7988
"54","sauvignon",7700
"55","structure",7607
"56","spicy",7271
"57","fine",7215
"58","smooth",7194
"59","wood",7053
"60","medium",6851
"61","pinot",6786
"62","herb",6583
"63","currant",6516
"64","style",6480
"65","mouth",6426
"66","concentrated",6370
"67","mineral",6363
"68","tannic",6359
"69","tart",6341
"70","herbal",6269
"71","note",6230
"72","vineyard",6176
"73","flavor",6034
"74","licorice",6022
"75","hint",5982
"76","merlot",5981
"77","lime",5913
"78","bit",5837
"79","orange",5830
"80","creamy",5768
"81","clean",5767
"82","age",5691
"83","toast",5655
"84","balance",5615
"85","syrah",5458
"86","dense",5397
"87","alongside",5394
"88","aging",5377
"89","structured",5344
"90","leather",5283
"91","lead",5282
"92","savory",5222
"93","tobacco",5206
"94","ready",5195
"95","earthy",5192
"96","delicious",5180
"97","tight",5163
"98","slightly",5103
"99","hints",5078
"100","elegant",5020
"101","easy",4987
"102","chardonnay",4770
"103","complex",4728
"104","mouthfeel",4719
"105","richness",4545
"106","cassis",4537
"107","freshness",4447
"108","herbs",4413
"109","smoky",4399
"110","time",4392
"111","lively",4376
"112","yellow",4366
"113","strawberry",4346
"114","vintage",4344
"115","cherries",4257
"116","melon",4252
"117","delivers",4233
"118","feels",4230
"119","coffee",4228
"120","cola",4212
"121","grapefruit",4208
"122","color",4191
"123","honey",4141
"124","feel",4103
"125","clove",4048
"126","wild",4025
"127","stone",3947
"128","attractive",3831
"129","pineapple",3828
"130","weight",3822
"131","simple",3819
"132","tropical",3810
"133","intense",3807
"134","floral",3797
"135","apricot",3787
"136","solid",3772
"137","earth",3771
"138","barrel",3747
"139","tastes",3737
"140","round",3722
"141","refreshing",3711
"142","core",3696
"143","cinnamon",3652
"144","bottling",3634
"145","finishes",3605
"146","baked",3517
"147","lightly",3491
"148","scents",3439
"149","alcohol",3430
"150","minerality",3420
"151","generous",3415
"152","plenty",3384
"153","complexity",3380
"154","edge",3359
"155","tangy",3346
"156","2018",3330
"157","bitter",3279
"158","zest",3265
"159","noir",3263
"160","crushed",3262
"161","cranberry",3254
"162","pretty",3220
"163","glass",3205
"164","toasty",3205
"165","body",3196
"166","flower",3110
"167","blueberry",3092
"168","drinking",3061
"169","cedar",3048
"170","grapes",3027
"171","spices",2999
"172","toasted",2986
"173","textured",2983
"174","concentration",2981
"175","aged",2975
"176","smoke",2975
"177","almond",2948
"178","silky",2939
"179","strong",2927
"180","mocha",2922
"181","franc",2907
"182","perfumed",2889
"183","blanc",2881
"184","rounded",2855
"185","oaky",2844
"186","powerful",2839
"187","aftertaste",2828
"188","mature",2818
"189","zesty",2810
"190","delicate",2801
"191","jammy",2798
"192","tones",2764
"193","roasted",2755
"194","wines",2739
"195","nice",2721
"196","bottle",2702
"197","aromatic",2686
"198","warm",2669
"199","layers",2657
"200","grape",2652
"201","anise",2651
"202","2017",2631
"203","deep",2616
"204","rose",2611
"205","hard",2599
"206","estate",2598
"207","mint",2587
"208","2020",2584
"209","forward",2584
"210","mix",2579
"211","bold",2557
"212","subtle",2557
"213","vibrant",2541
"214","dusty",2540
"215","lush",2534
"216","baking",2531
"217","depth",2531
"218","makes",2527
"219","candied",2525
"220","offering",2516
"221","malbec",2502
"222","caramel",2486
"223","sweetness",2474
"224","peppery",2465
"225","riesling",2459
"226","fruitiness",2454
"227","whiff",2450
"228","pair",2448
"229","pure",2435
"230","peel",2428
"231","espresso",2426
"232","power",2418
"233","brings",2408
"234","meat",2385
"235","jam",2376
"236","lean",2369
"237","thick",2352
"238","exotic",2350
"239","heavy",2350
"240","berries",2328
"241","sour",2321
"242","velvety",2230
"243","flowers",2225
"244","blackberries",2219
"245","bouquet",2218
"246","french",2216
"247","tangerine",2211
"248","lingering",2198
"249","grenache",2185
"250","close",2168
"251","lovely",2161
"252","polished",2155
"253","layered",2154
"254","valley",2152
"255","grilled",2133
"256","brisk",2123
"257","winery",2119
"258","vineyards",2100
"259","tannin",2094
"260","currants",2087
"261","cut",2086
"262","100",2081
"263","violet",2074
"264","rosã",2068
"265","sangiovese",2040
"266","chewy",2037
"267","quality",2036
"268","acids",2030
"269","integrated",2015
"270","cool",2011
"271","enjoy",2010
"272","nicely",2008
"273","petit",2000
"274","giving",1999
"275","intensity",1999
"276","varietal",1996
"277","supple",1994
"278","packed",1981
"279","sharp",1976
"280","price",1968
"281","tea",1961
"282","fragrant",1936
"283","2016",1932
"284","sugar",1931
"285","taste",1929
"286","develop",1928
"287","variety",1916
"288","verdot",1905
"289","elegance",1891
"290","vines",1882
"291","driven",1862
"292","impressive",1835
"293","classic",1821
"294","2019",1820
"295","blue",1818
"296","months",1811
"297","expression",1798
"298","food",1787
"299","prune",1787
"300","add",1777
"301","apples",1777
"302","pink",1768
"303","sage",1767
"304","sense",1767
"305","accents",1752
"306","adds",1744
"307","lots",1739
"308","provide",1739
"309","nectarine",1736
"310","cab",1702
"311","skin",1699
"312","cellar",1698
"313","cocoa",1694
"314","nowâ",1679
"315","accented",1677
"316","olive",1674
"317","ripeness",1638
"318","pleasant",1615
"319","blossom",1614
"320","wet",1611
"321","forest",1610
"322","pie",1609
"323","length",1607
"324","grained",1599
"325","juice",1590
"326","touches",1577
"327","sip",1576
"328","beautiful",1568
"329","finishing",1566
"330","raspberries",1554
"331","produced",1549
"332","straightforward",1538
"333","potential",1528
"334","acidic",1503
"335","based",1502
"336","smells",1499
"337","plump",1498
"338","bordeaux",1489
"339","mild",1485
"340","front",1481
"341","leaf",1481
"342","tightly",1469
"343","carry",1461
"344","tomato",1459
"345","midpalate",1444
"346","racy",1438
"347","beautifully",1433
"348","raisin",1428
"349","fermented",1416
"350","flavored",1412
"351","aroma",1411
"352","focused",1402
"353","grown",1386
"354","plums",1385
"355","set",1383
"356","raw",1382
"357","ample",1376
"358","buttered",1372
"359","purple",1371
"360","astringent",1368
"361","chunky",1367
"362","fleshy",1367
"363","producer",1361
"364","rustic",1357
"365","top",1356
"366","short",1319
"367","plush",1317
"368","lemony",1314
"369","honeysuckle",1307
"370","citrusy",1306
"371","graphite",1305
"372","lot",1295
"373","underbrush",1277
"374","viognier",1277
"375","appellation",1276
"376","elements",1273
"377","opulent",1269
"378","acid",1268
"379","spiced",1263
"380","hot",1262
"381","mango",1259
"382","candy",1257
"383","framed",1253
"384","2015",1251
"385","single",1250
"386","approachable",1246
"387","menthol",1241
"388","streak",1239
"389","friendly",1236
"390","appealing",1235
"391","beef",1231
"392","suggest",1230
"393","low",1221
"394","pomegranate",1218
"395","meaty",1217
"396","soil",1205
"397","heat",1199
"398","extra",1197
"399","lift",1197
"400","cream",1196
"401","smoked",1190
"402","excellent",1189
"403","honeyed",1187
"404","petite",1186
"405","boysenberry",1177
"406","steely",1173
"407","winemaker",1172
"408","grip",1168
"409","coconut",1167
"410","dominate",1165
"411","perfect",1160
"412","gentle",1157
"413","drying",1153
"414","family",1151
"415","boasts",1145
"416","robust",1145
"417","leathery",1140
"418","2022",1133
"419","nutmeg",1126
"420","fairly",1125
"421","refined",1124
"422","zinfandel",1123
"423","broad",1121
"424","dre",1120
"425","region",1116
"426","butter",1114
"427","density",1112
"428","mourvã",1110
"429","sirah",1107
"430","thyme",1104
"431","taut",1095
"432","minty",1086
"433","support",1080
"434","bean",1077
"435","restrained",1077
"436","lend",1074
"437","brown",1065
"438","tar",1065
"439","intensely",1063
"440","background",1061
"441","salty",1058
"442","slight",1053
"443","floor",1051
"444","fig",1050
"445","woody",1048
"446","golden",1046
"447","features",1042
"448","hold",1041
"449","charred",1040
"450","rubbery",1035
"451","dominated",1034
"452","linger",1030
"453","rind",1029
"454","chalky",1025
"455","accent",1023
"456","element",1021
"457","soften",1021
"458","richly",1016
"459","pressed",1014
"460","appeal",1012
"461","yeasty",1007
"462","bacon",1006
"463","doles",1006
"464","tasty",1001
"465","california",988
"466","luscious",988
"467","2025",986
"468","suggests",977
"469","tasting",977
"470","level",972
"471","coming",971
"472","bracing",968
"473","mouthwatering",965
"474","inviting",964
"475","balsamic",962
"476","sandalwood",962
"477","late",960
"478","modest",960
"479","colored",959
"480","lasting",956
"481","succulent",956
"482","bone",952
"483","carries",952
"484","star",952
"485","sourced",948
"486","starts",946
"487","typical",942
"488","thin",938
"489","stage",936
"490","wrapped",936
"491","backbone",935
"492","pears",932
"493","intriguing",929
"494","blended",928
"495","toned",927
"496","buttery",926
"497","firmly",925
"498","easygoing",923
"499","lifted",919
"500","grass",917
"501","finely",914
"502","laced",911
"503","game",909
"504","banana",907
"505","skinned",906
"506","basic",905
"507","mountain",905
"508","minerally",904
"509","profile",901
"510","softly",898
"511","extracted",894
"512","tough",892
"513","austere",890
"514","bitterness",890
"515","immediately",889
"516","moderate",889
"517","linear",888
"518","drinkable",887
"519","quickly",882
"520","loaded",878
"521","bring",876
"522","milk",875
"523","burnt",874
"524","mushroom",873
"525","sauce",872
"526","stalky",872
"527","marked",871
"528","final",870
"529","napa",870
"530","residual",864
"531","sparkling",864
"532","mellow",861
"533","pleasing",861
"534","peaches",858
"535","subdued",856
"536","summer",853
"537","chopped",851
"538","combine",851
"539","remains",851
"540","cake",850
"541","zin",850
"542","lacks",849
"543","feeling",848
"544","highlights",844
"545","leads",844
"546","mark",842
"547","unusual",840
"548","gritty",837
"549","steel",837
"550","ground",835
"551","lingers",835
"552","suggesting",835
"553","youthful",834
"554","screwcap",833
"555","dishes",832
"556","butterscotch",831
"557","flat",829
"558","ginger",828
"559","briny",827
"560","leafy",824
"561","leaves",823
"562","pencil",823
"563","brooding",820
"564","natural",815
"565","assertive",814
"566","crispness",814
"567","wound",812
"568","accessible",805
"569","effort",805
"570","grippy",805
"571","2021",800
"572","varieties",800
"573","offer",795
"574","selection",795
"575","chocolaty",793
"576","nuances",790
"577","skins",790
"578","frame",788
"579","nut",785
"580","asian",783
"581","neutral",783
"582","climate",782
"583","bite",781
"584","personality",781
"585","freshly",780
"586","grassy",779
"587","pale",778
"588","slate",775
"589","lychee",772
"590","strongly",772
"591","lavender",768
"592","lighter",767
"593","impression",763
"594","tempranillo",762
"595","stewed",761
"596","deliciously",760
"597","hearty",757
"598","pith",757
"599","dessert",755
"600","start",754
"601","rough",751
"602","emerge",749
"603","enjoyable",749
"604","overripe",748
"605","violets",746
"606","char",745
"607","enticing",745
"608","pine",741
"609","line",740
"610","compact",738
"611","sparkler",738
"612","barrels",732
"613","spring",731
"614","passion",730
"615","warmth",730
"616","stainless",725
"617","planted",723
"618","play",723
"619","extremely",722
"620","rubber",720
"621","modern",717
"622","rhubarb",717
"623","apã",715
"624","everyday",711
"625","brambly",709
"626","term",709
"627","pithy",708
"628","elegantly",707
"629","filling",706
"630","herbaceous",704
"631","ritif",702
"632","eucalyptus",700
"633","purity",699
"634","form",698
"635","wait",698
"636","closes",697
"637","center",695
"638","cru",695
"639","persistent",695
"640","bread",693
"641","flavorful",689
"642","dryness",686
"643","perfectly",682
"644","adding",680
"645","finesse",679
"646","oily",679
"647","steak",678
"648","citric",677
"649","reveals",676
"650","generic",675
"651","reserve",675
"652","syrup",675
"653","easily",673
"654","gorgeous",673
"655","layer",673
"656","displays",672
"657","range",672
"658","deeply",671
"659","include",671
"660","grabby",670
"661","site",668
"662","surprisingly",668
"663","focus",667
"664","2018â",666
"665","petal",666
"666","satisfying",664
"667","half",663
"668","italy",660
"669","2010",659
"670","entry",658
"671","heady",658
"672","tang",658
"673","blends",657
"674","richer",656
"675","developing",655
"676","perfume",655
"677","jasmine",654
"678","nutty",653
"679","mousse",651
"680","yeast",651
"681","meet",648
"682","mixed",647
"683","gris",646
